city_id,grievance_id,ward_id,ward_name_raw,ward_name_canon,category_raw,sub_category_raw,category_norm,description,created_at,status,lat,lng
blr,20096289,27.0,Banaswadi,Banasavadi,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 02:51:00,Closed,,
blr,20096288,119.0,Dharmarayaswamy Temple Ward,Dharmaraya Swamy Temple,Road Maintenance(Engg),Debris Removal / Construction Material,GARBAGE,,2020-12-31 02:51:00,Rejected,,
blr,20096287,4.0,Yelahanka old Satellite Town,Yelahanka Satellite Town,Road Maintenance(Engg),Road cutting,ROADS,,2020-12-31 02:46:00,Closed,,
blr,20096286,94.0,Gandhi Nagar,Gandhinagar,Road Maintenance(Engg),Potholes,ROADS,,2020-12-31 02:44:00,Closed,,
blr,20096285,190.0,Mangammanapalya,Mangammanapalya,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 02:43:00,Closed,,
blr,20096284,174.0,HSR Layout,HSR Layout,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 02:38:00,Closed,,
blr,20096283,40.0,Dodda Bidarkallu,Dodda Bidarakallu,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 02:36:00,Closed,,
blr,20096282,88.0,Jeevanbhima Nagar,Jeevanbhima Nagar,Road Maintenance(Engg),Debris Removal / Construction Material,GARBAGE,,2020-12-31 02:35:00,Closed,,
blr,20096281,61.0,S.K.Garden,S K Garden,veterinary,Stray dog related complaints,OTHER,,2020-12-31 02:32:00,Closed,,
blr,20096280,150.0,Bellandur,Bellanduru,Solid Waste (Garbage) Related,Sweeping not done,GARBAGE,,2020-12-31 02:10:00,Closed,,
blr,20096279,29.0,Kacharakanahalli,Kacharkanahalli,Road Maintenance(Engg),footpath encroachment,ROADS,,2020-12-31 02:08:00,Closed,,
blr,20096278,127.0,Moodalapalya,Mudalapalya,Road Maintenance(Engg),water leakage on road,WATER_SUPPLY,,2020-12-31 02:06:00,Closed,,
blr,20096277,,Jnanabharathi Ward,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 02:03:00,Closed,,
blr,20096276,6.0,Thanisandra,Thanisandra,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 02:00:00,Closed,,
blr,20096275,85.0,Doddanekkundi,Dodda Nekkundi,Revenue Department,"Khata Services (Registration, Transfer, Bifurcation and Amalgamation)",OTHER,,2020-12-31 01:58:00,Resolved,,
blr,20096274,14.0,Bagalagunte,Bagalakunte,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 01:57:00,Closed,,
blr,20096273,197.0,Vasanthapura,Vasanthpura,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 01:51:00,Closed,,
blr,20096272,,Jnanabharathi Ward,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 01:48:00,Closed,,
blr,20096271,130.0,Ullalu,Ullalu,Solid Waste (Garbage) Related,Sweeping not done,GARBAGE,,2020-12-31 01:44:00,Closed,,
blr,20096270,138.0,Chalavadipalya,Chalavadipalya,Road Maintenance(Engg),footpath encroachment,ROADS,,2020-12-31 01:40:00,Closed,,
blr,20096269,25.0,Horamavu,Horamavu,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,GARBAGE,,2020-12-31 01:38:00,Resolved,,
blr,20096268,,Vijay Nagar,,Road Maintenance(Engg),water stagnation,WATERLOGGING,,2020-12-31 01:33:00,Closed,,
blr,20096267,67.0,Nagapura,Nagapura,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 01:28:00,Closed,,
blr,20096266,187.0,Puttenahalli,Puttenahalli,Solid Waste (Garbage) Related,Dead animal(s),GARBAGE,,2020-12-31 01:28:00,Closed,,
blr,20096265,119.0,Dharmarayaswamy Temple Ward,Dharmaraya Swamy Temple,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 01:25:00,Closed,,
blr,20096264,25.0,Horamavu,Horamavu,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 01:15:00,Closed,,
blr,20096263,25.0,Horamavu,Horamavu,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 01:11:00,Closed,,
blr,20096262,160.0,Rajarajeshwari Nagar,Rajarajeshwari Nagar,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 01:10:00,Closed,,
blr,20096261,62.0,Ramaswamy Palya,Ramaswamy Palya,Forest,obstructions Branches / Trees.,OTHER,,2020-12-31 01:09:00,Resolved,,
blr,20096260,39.0,Chokkasandra,Chokkasandra,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 01:09:00,Closed,,
blr,20096259,195.0,Konanakunte,Konankunte,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 01:03:00,Closed,,
blr,20096258,,Jnanabharathi Ward,,Solid Waste (Garbage) Related,Segregation of waste is not done,GARBAGE,,2020-12-31 01:02:00,Closed,,
blr,20096257,150.0,Bellandur,Bellanduru,Forest,Issues related Snakes/Birds/Monkeys,OTHER,,2020-12-31 01:00:00,Resolved,,
blr,20096256,153.0,Jayangar,Jayanagar,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 12:57:00,Closed,,
blr,20096255,80.0,Hoysala Nagar,Hoysala Nagar,Road Maintenance(Engg),Potholes,ROADS,,2020-12-31 12:49:00,Closed,,
blr,20096254,40.0,Dodda Bidarkallu,Dodda Bidarakallu,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 12:47:00,Closed,,
blr,20096253,,Someshwara,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 12:45:00,Closed,,
blr,20096252,27.0,Banaswadi,Banasavadi,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 12:44:00,Closed,,
blr,20096251,134.0,Bapuji Nagar,Bapuji Nagar,Road Maintenance(Engg),Potholes,ROADS,,2020-12-31 12:39:00,Closed,,
blr,20096250,114.0,Agaram,Agaram,Solid Waste (Garbage) Related,Public dustbins not cleaned,GARBAGE,,2020-12-31 12:39:00,Closed,,
blr,20096249,192.0,Begur,Begur,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 12:33:00,Closed,,
blr,20096248,24.0,HBR Layout,HBR Layout,Road Maintenance(Engg),footpath encroachment,ROADS,,2020-12-31 12:33:00,Closed,,
blr,20096247,192.0,Begur,Begur,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 12:26:00,Closed,,
blr,20096246,152.0,Sudduguntepalya,Suddagunte Palya,Road Maintenance(Engg),Footpath,ROADS,,2020-12-31 12:21:00,Closed,,
